date version nhelpfiles nobjects ndatasets Rlines srclines
"2022-05-25" "3.0-0" 224 500 0 30319 6183
"2022-11-08" "3.0-4" 226 507 0 30638 6295
"2023-01-26" "3.0-6" 226 507 0 30644 6295
"2023-03-14" "3.1-0" 227 508 0 30724 6295
"2023-05-10" "3.2-0" 234 523 0 31541 6365
"2023-05-13" "3.2-1" 234 523 0 31561 6365
"2023-09-07" "3.2-3" 235 523 0 31638 6365
"2023-10-22" "3.2-5" 236 524 0 31769 6365
"2024-01-31" "3.2-6" 241 535 0 32147 6365
"2024-03-21" "3.2-7" 241 535 0 32149 6365
"2024-07-09" "3.3-1" 230 517 0 31571 6365
"2024-08-20" "3.3-2" 230 517 0 31571 6364
"2024-10-22" "3.3-3" 235 525 0 31903 6364
"2025-01-08" "3.3-4" 235 525 0 31907 6364
